Country,Year,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration,co2,co2_per_capita,coal_co2,oil_co2,gas_co2,cement_co2,population,Country Code,tree_cover_extent_2000__ha,area__ha,tree_cover_loss__ha,gross_emissions_co2e_all_gases__Mg,pct_tree_cover_2000,pct_loss_vs_extent,co2_per_capita_calc,co2_growth_abs,co2_growth_prct,co2_change_pct,deforestation_pct,temp_anomaly
South Africa,2004,38.1,-2.5,18.744262295081967,331.7,45.4,75.6,3918.3433833333333,449.307,9.171,384.086,54.238,6.364,4.335,48991420,ZAF,5983121.268,121971045.1,72601.94385,39024127.44,4.905361975946536,1.2134459690513495,9.171136496962122,44.89699999999999,11.10185208080907,11.10185208080907,1.2134459690513495,0.4691084662025595
South Africa,2005,39.3,-1.8,18.307123287671235,324.2,50.3,76,3918.12485,416.201,8.41,376.718,27.832,6.313,5.068,49490041,ZAF,5983121.268,121971045.1,104652.4835,63681479.79,4.905361975946536,1.7491285703955417,8.409792992493177,-33.106,-7.368235972,-7.368235972,1.7491285703955417,0.031969458791827776
South Africa,2006,37.6,-2.2,17.40273973,500.4,45.3,79.2,3860.0505222222223,446.77,8.936,382.017,53.08,6.126,5.333,49998272,ZAF,5983121.268,121971045.1,104943.8192,62185420.64,4.905361975946536,1.7539978633105653,8.935708818096753,30.56899999999996,7.344768513290445,7.344768513290445,1.7539978633105653,-0.872414103
South Africa,2007,37.7,-2.1,18.14356164383561,283.3,53.3,86,3953.2973249999995,465.045,9.204,392.172,59.332,7.892,5.491,50528577,ZAF,5983121.268,121971045.1,47105.15704,26681516.27,4.905361975946536,0.7873007236529908,9.203603734971598,18.275000000000034,4.090471607314727,4.090471607314727,0.7873007236529908,-0.131592185
South Africa,2008,39.1,-1.7,18.18879781420765,291,60.8,96.5,3952.050511111111,494.698,9.678,418.3,62.765,8.119,5.343,51114595,ZAF,5983121.268,121971045.1,81375.56016,54729857.33,4.905361975946536,1.360085422223135,9.678214216507046,29.652999999999963,6.376372179036438,6.376372179036438,1.360085422223135,-0.086356015
South Africa,2009,39.1,-2.6,18.04082191780822,369.7,51.5,77.8,3892.6254444444444,474.523,9.173,390.674,71.071,7.039,5.571,51728518,ZAF,5983121.268,121971045.1,67278.57924,44650406.71,4.905361975946536,1.124472933547768,9.173334523134802,-20.175,-4.078245718,-4.078245718,1.124472933547768,-0.234331911
South Africa,2010,38.2,-3.8,18.98109589041096,266.1,49.8,77.8,3921.1291277777777,463,8.845,394.437,54.458,8.867,5.045,52344045,ZAF,5983121.268,121971045.1,61758.75101,41182788.09,4.905361975946536,1.0322162671231352,8.845323283670568,-11.523,-2.428333295,-2.428333295,1.0322162671231352,0.7059420615315517
South Africa,2011,37.6,-1.9,17.26219178082192,498.9,51.8,91.4,3910.70845,465.908,8.792,389.67,62.665,8.801,4.638,52995210,ZAF,5983121.268,121971045.1,69616.86187,48164026.04,4.905361975946536,1.1635542512289925,8.791511534721723,2.9080000000000155,0.628077754,0.628077754,1.1635542512289923,-1.012962048
South Africa,2012,39.8,-1.8,17.74344262295082,363.2,56.3,92.9,3904.6204222222223,458.965,8.534,392.821,52.183,9.255,4.633,53782569,ZAF,5983121.268,121971045.1,84896.51525,61445473.01,4.905361975946536,1.4189335540307153,8.533712846628802,-6.943,-1.490208367,-1.490208367,1.4189335540307153,-0.531711206
South Africa,2013,39.1,-1.5,18.177534246575345,204.8,55.9,87.1,3973.3995916666663,458.647,8.388,392.664,51.655,9.384,4.893,54678790,ZAF,5983121.268,121971045.1,56368.9985,35464043.4,4.905361975946536,0.9421336452176352,8.388023948591401,-0.318,-0.069286329,-0.069286329,0.9421336452176352,-0.097619582
South Africa,2014,38.6,-2.8,18.649863013698628,253.4,49.7,77.4,3946.382461111111,471.965,8.489,399.204,58.756,9.043,4.911,55594838,ZAF,5983121.268,121971045.1,69666.60406,46389525,4.905361975946536,1.1643856264890269,8.489367304,13.317999999999984,2.9037582280054153,2.9037582280054153,1.1643856264890267,0.37470918481922055
South Africa,2015,39.4,-1.1,19.193972602739727,206,50,77,3953.0722666666666,446.349,7.869,377.026,53.894,9.966,5.419,56723537,ZAF,5983121.268,121971045.1,70157.20182,44379630.9,4.905361975946536,1.1725853225677925,7.8688499273238195,-25.616,-5.427521109,-5.427521109,1.1725853225677925,0.9188187738603197
South Africa,2016,42.6,-1.9,19.01557377,276.40000000000003,46.3,81.4,3932.517675,457.09,7.983,384.493,59.049,7.815,5.691,57259550,ZAF,5983121.268,121971045.1,73546.41164,50483920.76,4.905361975946536,1.229231505524618,7.982773179321179,10.740999999999985,2.406412919038692,2.406412919038692,1.229231505524618,0.7404199416123944
South Africa,2017,37.8,-4.9,18.70136986,219.4,55.7,90,3956.427791666667,439.996,7.634,369.921,57.224,7.339,5.481,57635158,ZAF,5983121.268,121971045.1,94055.71786,58266071.66,4.905361975946536,1.572017574890979,7.634159691207926,-17.094,-3.739744908,-3.739744908,1.572017574890979,0.426216034
South Africa,2018,38.7,-3,18.290958904109587,165.6,50.1,82.1,3893.597938888889,434.581,7.414,355.115,64.823,9.12,5.466,58613000,ZAF,5983121.268,121971045.1,63666.823,43120900.08,4.905361975946536,1.0641071799850406,7.414413184788358,-5.415,-1.230693006,-1.230693006,1.0641071799850406,0.015805075
South Africa,2019,39.1,-1.4,19.542465753424658,60.9,55.4,87.5,3964.9046638888885,464.114,7.789,394.345,55.169,9.105,5.453,59587880,ZAF,5983121.268,121971045.1,76139.96713,45498434.68,4.905361975946536,1.2725793731981567,7.788731534,29.53299999999996,6.795741185187554,6.795741185187554,1.2725793731981567,1.2673119245452504
South Africa,2020,39.4,-3.7,18.496994535519125,206.3,52.6,85,3952.684025,434.067,7.167,373.889,45.408,9.644,5.071,60562374,ZAF,5983121.268,121971045.1,62247.23387,40495036.7,4.905361975946536,1.0403806154309758,7.167271877420129,-30.047,-6.474055943,-6.474055943,1.0403806154309758,0.22184070663971767
South Africa,2021,37.7,-3.6,18.18164383561644,201.7,56.2,86,3899.3396194444445,425.918,6.925,355.642,56.558,8.383,5.282,61502601,ZAF,5983121.268,121971045.1,52067.64857,42062594.06,4.905361975946536,0.8702422404252027,6.925203049542572,-8.149,-1.877359947,-1.877359947,0.8702422404252027,-0.093509993
South Africa,2022,38,-2.4,18.114794520547942,348.8,49,76,3816.963925,405.312,6.498,335.074,56.434,8.484,5.282,62378419,ZAF,5983121.268,121971045.1,40979.85656,33613667.9,4.905361975946536,0.6849243851896468,6.497631817183439,-20.606,-4.838020464,-4.838020464,0.6849243851896468,-0.160359308
South Africa,2023,40.4,-1.5,18.166575342465755,288.5,58.3,88.2,3845.924375,401.893,6.358,329.773,57.361,9.433,5.282,63212386,ZAF,5983121.268,121971045.1,29571.28835,25806448.09,4.905361975946536,0.4942451778164426,6.357820443607365,-3.419,-0.843547687,-0.843547687,0.49424517781644267,-0.108578486
Spain,2001,37.9,-5.7,14.349315068493151,372.7,35.5,93.2,3603.061438888889,311.809,7.56,81.098,169.399,39.97,15.014,41245604,ESP,11018935.46,50604330.63,32811.05352,9700001.52,21.77468869327874,0.2977697223031016,7.559811707448872,,,,0.29776972230310167,0.023950894528033118
Spain,2002,35.8,-2.2,14.30136986,495.5,32.1,82.4,3550.3967083333337,331.95,7.95,90.917,173.921,45.027,15.53,41755702,ESP,11018935.46,50604330.63,37699.26142,10974289.78,21.77468869327874,0.342131611,7.949812459146298,20.140999999999963,6.459403031984312,6.459403031984312,0.34213161114204405,-0.023994311
Spain,2003,38.5,-4.3,14.628219178082192,576.8,31.4,71.3,3538.659741666667,336.333,7.912,84.293,178.25,51.279,16.038,42506541,ESP,11018935.46,50604330.63,23315.39373,7039084.787,21.77468869327874,0.2115938859487611,7.9124998667852084,4.383000000000038,1.3203795752372516,1.3203795752372516,0.21159388594876113,0.3028550041170739
Spain,2004,37.5,-3.8,14.010382513661202,362.1,28.8,78.5,3629.5795500000004,353.011,8.165,87.367,183.598,58.736,16.292,43234563,ESP,11018935.46,50604330.63,67273.04966,19458306.76,21.77468869327874,0.6105222224434373,8.165018344235374,16.677999999999997,4.958775975000962,4.958775975000962,0.6105222224434373,-0.31498166
Spain,2005,38.7,-4.5,14.33753424657534,224,26.5,66.2,3798.5825194444446,368.339,8.379,87.766,187.751,68.912,16.792,43958884,ESP,11018935.46,50604330.63,48955.11196,13798740.54,21.77468869327874,0.4442816834503902,8.379170863391346,15.327999999999975,4.342074326295764,4.342074326295764,0.4442816834503902,0.012170072610221183
Spain,2006,37.6,-4.1,14.96109589041096,478.8,34.7,84.6,3649.436769444444,359.654,8.047,77.952,183.443,74.012,16.745,44695446,ESP,11018935.46,50604330.63,72718.77486,22411306.29,21.77468869327874,0.6599437406996119,8.046770581503987,-8.685,-2.357882277,-2.357882277,0.6599437406996119,0.6357317164458411
Spain,2007,37.2,-3.4,13.633972602739725,380.1,33.7,78.8,3675.5270888888886,367.401,8.072,84.629,182.939,75.626,16.824,45516501,ESP,11018935.46,50604330.63,60256.37777,22057854.03,21.77468869327874,0.5468439123610221,8.071819931852845,7.747000000000014,2.1540146918983316,2.1540146918983316,0.5468439123610221,-0.691391571
Spain,2008,36.9,-3.1,13.798633879781422,403.2,32.6,76.3,3602.9235166666667,335.889,7.265,59.334,173.209,82.523,14.389,46235055,ESP,11018935.46,50604330.63,44287.97416,17028547.17,21.77468869327874,0.4019260691812781,7.2648123809953296,-31.512,-8.577004418,-8.577004418,0.40192606918127816,-0.526730294
Spain,2009,36.7,-5.2,15.09945205479452,295.7,35,83.5,3703.178019444444,296.501,6.358,45.081,161.035,73.68,11.402,46635182,ESP,11018935.46,50604330.63,67544.71936,24310689.39,21.77468869327874,0.6129877028973904,6.357882338702999,-39.388,-11.72649298,-11.72649298,0.6129877028973904,0.774087881
Spain,2010,37.4,-3.9,13.868493150684932,492.2,39.3,89.6,3521.017588888889,282.938,6.04,36.352,156.339,73.623,11.197,46840470,ESP,11018935.46,50604330.63,56093.48286,21497044.93,21.77468869327874,0.5090644469570202,6.040460311,-13.563,-4.574352194,-4.574352194,0.5090644469570202,-0.456871023
Spain,2011,37.4,-4.2,14.915342465753426,429.1,28,67.7,3661.653983333333,283.801,6.039,54.215,146.018,68.024,9.523,46998040,ESP,11018935.46,50604330.63,39325.33284,15554105.33,21.77468869327874,0.3568886757051575,6.038570970193651,0.8629999999999995,0.3050138192819629,0.3050138192819629,0.3568886757051575,0.5899782917883076
Spain,2012,39.2,-4.5,14.563934426229508,303.3,30.9,77.8,3721.1203,278.061,5.914,63.253,134.678,65.077,8.754,47018321,ESP,11018935.46,50604330.63,80495.77219,24573076.69,21.77468869327874,0.730522222,5.913886206187584,-5.74,-2.022543966,-2.022543966,0.730522222,0.238570252
Spain,2013,36.4,-3.1,13.973698630136983,406.8,33.4,78.5,3616.7490944444444,251.942,5.376,49.191,129.347,59.055,7.642,46860393,ESP,11018935.46,50604330.63,63956.04495,23926447.01,21.77468869327874,0.5804194532418107,5.376438050786301,-26.119,-9.393262629,-9.393262629,0.5804194532418107,-0.351665544
Spain,2014,36.2,-2.9,14.97068493150685,447.6,34.4,101.2,3605.727061111111,254.181,5.441,54.142,129.902,54.251,8.897,46720186,ESP,11018935.46,50604330.63,74226.4322,29646749.12,21.77468869327874,0.6736261635205184,5.440496319941877,2.2390000000000043,0.8886966047741085,0.8886966047741085,0.6736261635205184,0.6453207575417323
Spain,2015,38.1,-3.5,15.372328767123289,245,33.4,69.1,3703.1886944444445,270.74,5.799,61.841,136.332,56.603,9.216,46683683,ESP,11018935.46,50604330.63,65413.69408,25876959.37,21.77468869327874,0.5936480372124804,5.799456739520744,16.558999999999997,6.514649009957463,6.514649009957463,0.5936480372124804,1.0469645931581706
Spain,2016,38.5,-1.9,15.037158469945355,497.8,31.9,76,3550.012761111111,259.625,5.556,45.677,140.243,57.653,9.414,46732766,ESP,11018935.46,50604330.63,107562.1844,42592105.23,21.77468869327874,0.9761576768505728,5.555523933678567,-11.115,-4.105414789,-4.105414789,0.9761576768505729,0.711794296
Spain,2017,38.7,-4.7,15.69068493150685,410.7,37.6,87.1,3689.294594444444,273.58,5.837,53.598,141.132,62.528,9.449,46868594,ESP,11018935.46,50604330.63,98458.68885,35445044.63,21.77468869327874,0.893540843,5.837171048911772,13.954999999999984,5.375060182956171,5.375060182956171,0.893540843,1.3653207575417312
Spain,2018,38.7,-4.5,14.414794520547945,600.2,36.8,96.8,3467.2155444444447,268.59,5.703,48.081,142.101,61.842,9.667,47092817,ESP,11018935.46,50604330.63,119648.8391,51934863.76,21.77468869327874,1.0858475352209749,5.703417572153308,-4.99,-1.82396374,-1.82396374,1.0858475352209749,0.089430347
Spain,2019,39.9,-3.8,15.152328767123288,429.1,43,99,3592.531875,250.596,5.283,23.649,140.026,71.178,9.064,47435120,ESP,11018935.46,50604330.63,71021.86483,32162285.15,21.77468869327874,0.644543795,5.282921177389243,-17.994,-6.699430359,-6.699430359,0.644543795,0.826964593
Spain,2020,38.2,-3.7,15.14398907103825,554.8,38.9,87.8,3438.8632833333336,211.843,4.443,14.326,118.806,64.25,8.192,47679482,ESP,11018935.46,50604330.63,101988.1764,46460003.74,21.77468869327874,0.9255719553874217,4.443064209464356,-38.753,-15.46433303,-15.46433303,0.9255719553874217,0.818624897
Spain,2021,40.4,-7.8,14.803835616438356,513.3,36.5,93.2,3511.887786111111,229.069,4.799,16.271,129.749,68.124,8.472,47735670,ESP,11018935.46,50604330.63,85791.95742,38435665.82,21.77468869327874,0.7785866223777664,4.798696655980737,17.226,8.131493606,8.131493606,0.7785866223777664,0.4784714424732375
Spain,2022,41.1,-2.9,16.16,497.9,31.8,67,3428.9140222222222,234.657,4.906,17.872,135.101,67.501,7.715,47828386,ESP,11018935.46,50604330.63,137820.5641,46144639.74,21.77468869327874,1.2507611520214856,4.906228698580796,5.588000000000022,2.4394396448231825,2.4394396448231825,1.2507611520214856,1.8346358260348818
Spain,2023,40.4,-4.8,15.59863014,538.9,38,88.6,3598.821969444444,221.616,4.626,13.553,132.89,60.778,7.928,47911583,ESP,11018935.46,50604330.63,85868.66958,37419391.03,21.77468869327874,0.7792828072340846,4.625520304766386,-13.041,-5.557473248,-5.557473248,0.7792828072340846,1.2732659630211813
Tanzania,2001,32.8,11.5,22.29808219178082,598.5,24,48.2,3997.306111111111,3.041,0.086,0.205,2.473,0,0.362,35198302,TZA,26405606.71,94052972.43,82214.12863,30464022.28,28.075249540521085,0.3113510306084537,0.086396213,,,,0.3113510306084537,-0.404866532
Tanzania,2002,32.9,12.2,22.22986301369863,684.6,25.6,51.8,3953.934463888889,3.486,0.096,0.209,2.865,0,0.412,36121301,TZA,26405606.71,94052972.43,85080.21703,29459830.33,28.075249540521085,0.3222051209214575,0.096508152,0.4450000000000003,14.633344294639938,14.633344294639938,0.3222051209214575,-0.47308571
Tanzania,2003,33.5,11,22.96931506849315,334.7,26,49,3995.9255583333334,3.687,0.099,0.147,3.067,0,0.474,37089554,TZA,26405606.71,94052972.43,84066.91857,28046074.26,28.075249540521085,0.3183676841561199,0.099408044,0.20099999999999962,5.765920826161786,5.765920826161786,0.3183676841561199,0.26636634478628807
